categoria,hasAnswer,hasAuthor,hasBanner,hasButton,hasBuy,hasCart,hasChat,hasComment,hasContent,hasControl,hasCountry,hasCustomer,hasDropdown,hasFilter,hasForm,hasForum,hasItemProp,hasMetaKeywords,hasNewsletter,hasOrder,hasPresentation,hasPrices,hasPrint,hasProduct,hasPurchase,hasRadio,hasRelNext,hasRelPrev,hasRelated,hasReply,hasReview,hasSale,hasSchemaOrg,hasShipping,hasSort,hasThread,hasUser,hasVotes,hasWishlist,hreflangCount,imgHasAlt,tag_a,tag_abbr,tag_article,tag_aside,tag_b,tag_button,tag_dd,tag_div,tag_dl,tag_em,tag_figcaption,tag_figure,tag_form,tag_h2,tag_h3,tag_h4,tag_h5,tag_h6,tag_hr,tag_i,tag_iframe,tag_img,tag_input,tag_label,tag_li,tag_ol,tag_p,tag_picture,tag_pre,tag_section,tag_select,tag_small,tag_span,tag_strong,tag_sup,tag_svg,tag_table,tag_tbody,tag_td,tag_th,tag_time,tag_tr,tag_ul,tag_video,word_count,word_count_no_boilerplate
E-commerce / Pagina di prodotto,0,0,5,36,0,0,1,0,89,0,0,0,1,0,2,0,41,0,0,2,1,13,0,0,0,0,0,0,0,0,0,3,0,0,0,0,14,0,2,55,32,603,0,1,0,4,18,3,408,2,0,0,0,2,4,2,6,20,0,0,0,1,37,3,1,671,1,27,0,0,2,1,1,222,2,0,40,0,0,0,0,0,0,94,0,11417,1267
E-commerce / Pagina di prodotto,0,0,0,0,0,18,0,6,2,2,7,8,4,0,19,0,12,0,0,0,0,7,0,2,0,18,0,0,0,0,1,0,0,4,1,2,0,0,4,0,17,0,18,514,0,6,1,0,13,0,791,0,0,0,1,7,6,2,3,0,0,1,71,12,48,17,1,483,1,12,0,0,3,0,0,303,3,0,0,0,0,0,0,0,0,6077,504
E-commerce / Pagina di prodotto,3,0,2,128,1,1,2,0,20,5,4,1,0,11,10,0,22,1,2,3,0,67,0,101,0,2,0,0,1,0,21,6,1,0,0,0,6,0,0,0,63,519,0,57,0,0,128,0,521,0,0,0,7,7,9,60,14,0,0,0,0,2,65,16,10,490,0,28,0,0,13,0,0,132,60,0,0,0,0,0,0,0,0,135,0,11125,2406
E-commerce / Pagina di prodotto,0,0,1,4,0,1,0,0,1,0,0,1,2,2,0,0,0,0,0,4,8,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,0,3,298,0,0,0,0,0,0,112,0,0,0,0,1,7,0,0,0,0,0,0,0,3,1,0,8,0,13,0,0,19,0,0,34,0,0,55,0,0,0,0,0,0,1,0,4863,0
E-commerce / Pagina di categoria,0,0,2,91,0,0,0,0,42,3,0,0,2,41,4,0,0,0,0,4,0,63,0,90,0,0,0,0,0,0,42,0,0,0,2,0,0,0,0,0,48,269,0,0,0,0,3,0,555,0,0,0,42,3,1,0,0,10,0,0,99,3,64,5,0,73,1,86,0,0,4,1,0,113,0,0,0,0,0,0,0,0,0,12,0,5718,0
E-commerce / Pagina di prodotto,0,0,0,81,0,15,1,0,10,0,11,1,12,9,6,0,126,1,20,18,0,34,0,115,0,2,0,0,0,0,88,1,0,0,4,0,1,0,10,0,41,180,0,1,0,2,11,0,524,0,0,0,0,5,1,0,0,0,0,0,8,0,42,19,5,87,0,43,0,1,32,4,0,374,31,0,0,0,0,0,0,0,0,15,0,7050,511
E-commerce / Pagina di prodotto,0,0,2,14,0,6,6,3,34,0,188,5,71,5,0,0,5,1,0,25,2,87,0,5,0,22,0,0,0,0,28,0,0,1,3,0,12,0,1,12,63,543,0,0,0,1,23,0,1365,0,11,0,0,4,6,2,5,2,121,0,520,12,131,36,26,288,0,163,0,0,0,0,0,239,30,0,0,5,1,139,0,0,21,25,0,36195,21483
E-commerce / Pagina di categoria,0,0,2,29,0,1,0,0,9,1,1,0,1,1556,1,0,378,0,0,0,0,102,0,573,0,24,0,0,0,0,0,31,0,1,10,0,0,0,0,0,44,210,0,0,0,1,7,0,506,0,0,0,0,3,0,0,1,20,0,2,463,2,44,485,475,103,0,2,0,0,0,3,0,702,0,0,555,0,0,0,0,0,0,20,0,10307,285
E-commerce / Pagina di categoria,0,0,0,257,0,0,0,0,11,0,0,0,10,39,1,0,2,0,5,256,0,413,0,3686,0,0,0,0,0,0,10,2,0,0,8,0,0,0,0,0,407,910,0,0,0,0,3,3,2383,1,0,0,0,3,1,12,0,0,0,0,0,10,407,10,3,247,1,13,0,0,1,0,0,1461,247,0,13,0,0,0,0,0,0,28,0,39938,5484
E-commerce / Pagina di categoria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0
